Disease,Diet
Fungal infection,"['Yeast-Free Diet', 'Probiotic-rich foods', 'Garlic extracts', 'Organic coconut oil', 'Turmeric-infused dishes']"
Allergy,"['Hypoallergenic Diet', 'Omega-3-enriched meals', 'Citrus fruits', 'Quercetin-packed vegetables', 'Gut-friendly probiotics']"
GERD,"['Acid-Reducing Diet', 'Fiber-enhanced foods', 'Fresh ginger', 'Natural licorice root', 'Aloe vera beverages']"
Chronic cholestasis,"['Liver-Friendly Diet', 'High-fiber meals', 'Lean protein sources', 'Whole-grain options', 'Seasonal fresh produce']"
Drug Reaction,"['Anti-Inflammatory Diet', 'Omega-3-packed snacks', 'Citrus-rich fruits', 'Quercetin-rich items', 'Probiotic supplements']"
Peptic ulcer disease,"['Ulcer-Support Diet', 'Fiber-rich vegetables', 'Ginger tea', 'Pure licorice extracts', 'Aloe vera juice blends']"
AIDS,"['Immune-Boosting Diet', 'Protein-packed meals', 'Colorful vegetables', 'Whole grains', 'Healthy fats like avocado']"
Diabetes,"['Sugar-Controlled Diet', 'High-fiber grains', 'Lean meat options', 'Healthy oils', 'Low-fat dairy']"
Gastroenteritis,"['Digestive-Soothing Diet', 'Ripe bananas', 'Plain rice', 'Applesauce', 'Dry toast']"
Bronchial Asthma,"['Respiratory-Friendly Diet', 'Omega-3-rich fish', 'Green vegetables', 'Whole-grain bread', 'Lean protein choices']"
Hypertension,"['Blood Pressure Diet', 'Low-sodium snacks', 'Fresh vegetables', 'Whole grains', 'Skinless poultry']"
Migraine,"['Headache-Friendly Diet', 'Tyramine-free meals', 'Caffeine substitutes', 'Plenty of water', 'Magnesium-enriched nuts']"
Cervical spondylosis,"['Joint-Support Diet', 'Omega-3-rich fish', 'Colorful vegetables', 'Whole grains', 'Bone-strengthening foods']"
Paralysis (brain hemorrhage),"['Recovery Diet', 'Low-sodium choices', 'Vibrant vegetables', 'Fiber-filled grains', 'Lean protein meals']"
Jaundice,"['Detox Diet', 'Low-fat dishes', 'Vitamin-rich vegetables', 'Whole-grain staples', 'Lean meats']"
Malaria,"['Energy-Restoring Diet', 'Electrolyte drinks', 'Calorie-dense meals', 'Soft foods', 'Rehydration solutions']"
Chicken pox,"['Healing Diet', 'Nutrient-rich soft foods', 'Protein shakes', 'Hydrating liquids', 'Immunity boosters']"
Dengue,"['Platelet-Boosting Diet', 'Plenty of fluids', 'Calorie-rich soups', 'Easy-to-digest meals', 'Protein-enriched items']"
Typhoid,"['Stomach-Friendly Diet', 'Energy-packed foods', 'Bland recipes', 'Clear fluids', 'Protein-focused snacks']"
hepatitis A,"['Liver-Repair Diet', 'High-energy dishes', 'Gentle-on-stomach foods', 'Water-based drinks', 'Protein-infused meals']"
Hepatitis B,"['Liver-Strengthening Diet', 'Nutritious high-calorie items', 'Soft-textured foods', 'Ample hydration', 'Protein boosts']"
Hepatitis C,"['Virus-Combating Diet', 'Balanced calorie meals', 'Gentle solid foods', 'Plenty of water', 'Protein support']"
Hepatitis D,"['Supportive Diet', 'Easy-to-digest calories', 'Soft fruits and vegetables', 'Hydration-rich beverages', 'Protein intakes']"
Hepatitis E,"['Recovery-Specific Diet', 'Energy-dense foods', 'Stomach-friendly snacks', 'Water-based fluids', 'Protein supplements']"
Alcoholic hepatitis,"['Alcohol-Free Diet', 'Low-fat meals', 'Antioxidant vegetables', 'Grain varieties', 'Lean protein servings']"
Tuberculosis,"['TB-Specific Diet', 'Calorie-enhanced servings', 'Soft but nourishing foods', 'Rehydrating fluids', 'Protein enhancements']"
Common Cold,"['Cold-Relief Diet', 'Warm soups', 'Herbal teas', 'Ample rest', 'Honey-infused beverages']"
Pneumonia,"['Lung-Healing Diet', 'High-energy plates', 'Gentle meals', 'Sufficient hydration', 'Protein-enriched options']"
Dimorphic hemorrhoids (piles),"['Bowel-Health Diet', 'High-fiber salads', 'Ample water', 'Warm herbal baths', 'Digestive aids']"
Heart attack,"['Cardiac-Friendly Diet', 'Salt-reduced recipes', 'Vegetable medleys', 'Grain-based meals', 'Lean protein dishes']"
Varicose veins,"['Vein-Support Diet', 'Fiber-filled cereals', 'Leafy greens', 'Whole-grain slices', 'Salt-controlled snacks']"
Hypothyroidism,"['Thyroid-Support Diet', 'Iodine-enriched seaweed', 'Selenium-rich nuts', 'Root vegetables', 'Whole-wheat breads']"
Hyperthyroidism,"['Metabolism-Moderating Diet', 'Iodine-reduced options', 'Calcium-packed milk', 'Selenium supplements', 'Green vegetables']"
Hypoglycemia,"['Blood Sugar Diet', 'Slow-digesting carbs', 'Protein bars', 'Nutrient-packed snacks', 'Healthy fat sources']"
Osteoarthritis,"['Bone-Friendly Diet', 'Inflammation-reducing meals', 'Omega-3-rich fish', 'Bright vegetables', 'Wholesome grains']"
Arthritis,"['Pain-Reducing Diet', 'Anti-inflammatory fish oils', 'Green and colorful vegetables', 'Whole-grain crackers', 'Healing herbs']"
(vertigo) Paroxysmal Positional Vertigo,"['Balance Diet', 'Low-salt foods', 'Hydration drinks', 'Ginger-infused tea', 'Vitamin D-enhanced products']"
Acne,"['Clear-Skin Diet', 'Low-glycemic fruits', 'Hydrating soups', 'Fresh vegetables', 'Fermented foods']"
Urinary tract infection,"['Bladder-Health Diet', 'Extra water', 'Unsweetened cranberry juice', 'Probiotic capsules', 'Citrus fruits']"
Psoriasis,"['Skin-Soothing Diet', 'Anti-inflammatory seeds', 'Omega-3 seafood', 'Fresh produce', 'Whole-grain cereals']"
Impetigo,"['Healing Foods Diet', 'Antibiotic-rich broths', 'Vitamin-rich veggies', 'Ample water', 'Protein-based snacks']"
